state_number,state_name,consecutive_number,number_of_forms_submitted_for_persons_not_in_motor_vehicles,county,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,national_highway_system,land_use,functional_system,route_signing,first_harmful_event,manner_of_collision,relation_to_junction_within_interchange_area,relation_to_junction_specific_location,type_of_intersection,work_zone,relation_to_trafficway,light_condition,atmospheric_conditions,related_factors_crash_level_1,related_factors_crash_level_2,related_factors_crash_level_3,number_of_fatalities,vehicle_number,person_number,rollover,age,sex,person_type,injury_severity,police_reported_alcohol_involvement,police_reported_drug_involvement,related_factors_person_level1,related_factors_person_level2,related_factors_person_level3,race,vehicle_make,vehicle_model,body_type,vehicle_model_year,vehicle_identification_number_vin,vehicle_trailing,gross_vehicle_weight_rating,hazardous_material_involvement,travel_speed,previous_recorded_crashes,previous_recorded_suspensions_and_revocations,previous_dwi_convictions,previous_speeding_convictions,speeding_related,related_factors_driver_level_1,related_factors_driver_level_2,related_factors_driver_level_3,related_factors_driver_level_4,roadway_alignment,roadway_grade,roadway_surface_type,roadway_surface_condition,crash_type,fatalities_in_vehicle
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,98,998,95,1988,489055,No Trailing Unit,Not Applicable,No,998,0,0,0,0,No,91,0,0,0,Straight,Level,"Blacktop, Bituminous, or Asphalt",1,0,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,37,709,80,1979,4114815,No Trailing Unit,Not Applicable,No,998,0,0,0,0,No,83,0,0,0,Curve Right,Level,"Blacktop, Bituminous, or Asphalt",1,13,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,98,998,92,1955,5021945,No Trailing Unit,Not Applicable,No,998,99,99,99,99,"Yes, Too Fast for Conditions",0,0,0,0,Curve Right,Downhill,"Blacktop, Bituminous, or Asphalt",1,0,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,34,709,80,1978,6146052,No Trailing Unit,Not Applicable,No,998,0,0,0,0,No,0,0,0,0,Straight,Level,Concrete,1,1,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,98,709,80,1996,NY52248,No Trailing Unit,Not Applicable,No,45,0,4,0,0,"Yes, Exceeded Speed Limit",0,0,0,0,Straight,Level,"Blacktop, Bituminous, or Asphalt",1,0,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,73,705,80,2012,FLA66354,No Trailing Unit,Not Applicable,No,998,1,0,0,0,No,6,0,0,0,Curve Left,Level,Not Reported,1,1,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,20,481,31,1950,20HSG1629,No Trailing Unit,Not Applicable,No,998,0,0,0,0,No,48,0,0,0,Straight,Level,"Blacktop, Bituminous, or Asphalt",1,0,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,76,701,80,1980,3Y6012696,No Trailing Unit,Not Applicable,No,35,98,0,0,0,No,39,0,0,0,Straight,Level,"Blacktop, Bituminous, or Asphalt",1,98,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,76,705,80,1982,5N8020039,No Trailing Unit,Not Applicable,No,60,2,7,2,1,No,0,0,0,0,Straight,Downhill,"Blacktop, Bituminous, or Asphalt",1,1,1
53,Washington,530365,1,33,1960,16,9,2015,4,21,0,2,4,4,8,0,No,3,Four-Way Intersection,None,1,3,2,0,0,0,1,1,1,No Rollover,21,Male,1,0,No (Alcohol Not Involved),No (Drugs Not Involved),0,0,0,0,76,709,80,1982,5Y1002097,No Trailing Unit,Not Applicable,No,998,0,3,1,0,"Yes, Specifics Unknown",0,0,0,0,Curve Left,Level,Dirt,1,0,1
